experiment_type,conditions,results,gene_id,publication_id
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.5, ""time"": ""14h""}","{""measurement"": 33.18, ""p_value"": 0.014, ""fold_change"": 2.73}",121,249
Microarray,"{""temperature"": ""20\u00b0C"", ""ph"": 7.2, ""time"": ""20h""}","{""measurement"": 21.94, ""p_value"": 0.0372, ""fold_change"": -4.54}",347,258
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 6.7, ""time"": ""5h""}","{""measurement"": 1.45, ""p_value"": 0.0257, ""fold_change"": -2.54}",328,87
ATAC-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.8, ""time"": ""41h""}","{""measurement"": 41.69, ""p_value"": 0.0225, ""fold_change"": -2.64}",865,360
Microarray,"{""temperature"": ""26\u00b0C"", ""ph"": 6.8, ""time"": ""1h""}","{""measurement"": 51.36, ""p_value"": 0.0108, ""fold_change"": 0.08}",133,327
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.5, ""time"": ""46h""}","{""measurement"": 3.57, ""p_value"": 0.0033, ""fold_change"": 1.55}",747,455
WGS,"{""temperature"": ""36\u00b0C"", ""ph"": 6.4, ""time"": ""20h""}","{""measurement"": 68.76, ""p_value"": 0.0193, ""fold_change"": -2.83}",255,204
Microarray,"{""temperature"": ""26\u00b0C"", ""ph"": 6.8, ""time"": ""16h""}","{""measurement"": 12.01, ""p_value"": 0.0004, ""fold_change"": 2.09}",697,407
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.2, ""time"": ""6h""}","{""measurement"": 68.09, ""p_value"": 0.0035, ""fold_change"": 2.99}",44,214
WES,"{""temperature"": ""33\u00b0C"", ""ph"": 7.5, ""time"": ""7h""}","{""measurement"": 77.39, ""p_value"": 0.0003, ""fold_change"": 4.74}",295,197
Microarray,"{""temperature"": ""24\u00b0C"", ""ph"": 6.1, ""time"": ""28h""}","{""measurement"": 32.46, ""p_value"": 0.0244, ""fold_change"": -1.34}",354,231
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 7.3, ""time"": ""38h""}","{""measurement"": 14.17, ""p_value"": 0.0402, ""fold_change"": 4.04}",675,86
ChIP-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.0, ""time"": ""24h""}","{""measurement"": 40.95, ""p_value"": 0.0202, ""fold_change"": 4.7}",893,54
RNA-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 6.7, ""time"": ""41h""}","{""measurement"": 47.9, ""p_value"": 0.0358, ""fold_change"": 4.6}",693,24
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.3, ""time"": ""28h""}","{""measurement"": 99.0, ""p_value"": 0.006, ""fold_change"": -0.37}",541,124
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 7.8, ""time"": ""9h""}","{""measurement"": 97.9, ""p_value"": 0.0376, ""fold_change"": 3.87}",174,301
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 6.1, ""time"": ""34h""}","{""measurement"": 81.65, ""p_value"": 0.0225, ""fold_change"": -2.43}",899,166
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 7.5, ""time"": ""10h""}","{""measurement"": 70.59, ""p_value"": 0.0488, ""fold_change"": 0.52}",353,349
Metabolomics,"{""temperature"": ""25\u00b0C"", ""ph"": 7.1, ""time"": ""28h""}","{""measurement"": 42.55, ""p_value"": 0.0043, ""fold_change"": 2.44}",793,21
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.9, ""time"": ""44h""}","{""measurement"": 76.46, ""p_value"": 0.0491, ""fold_change"": -3.16}",194,76
WGS,"{""temperature"": ""31\u00b0C"", ""ph"": 6.5, ""time"": ""48h""}","{""measurement"": 35.1, ""p_value"": 0.0439, ""fold_change"": 4.95}",981,91
Proteomics,"{""temperature"": ""23\u00b0C"", ""ph"": 6.7, ""time"": ""23h""}","{""measurement"": 69.59, ""p_value"": 0.025, ""fold_change"": 3.27}",255,205
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.4, ""time"": ""27h""}","{""measurement"": 57.1, ""p_value"": 0.0227, ""fold_change"": 4.07}",115,343
Metabolomics,"{""temperature"": ""34\u00b0C"", ""ph"": 7.4, ""time"": ""35h""}","{""measurement"": 8.76, ""p_value"": 0.0176, ""fold_change"": -4.61}",583,183
WES,"{""temperature"": ""28\u00b0C"", ""ph"": 7.7, ""time"": ""44h""}","{""measurement"": 54.24, ""p_value"": 0.0275, ""fold_change"": -2.63}",822,225
ChIP-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.8, ""time"": ""37h""}","{""measurement"": 96.58, ""p_value"": 0.0375, ""fold_change"": -4.02}",701,294
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.2, ""time"": ""4h""}","{""measurement"": 96.39, ""p_value"": 0.0477, ""fold_change"": -4.86}",985,304
WES,"{""temperature"": ""37\u00b0C"", ""ph"": 6.3, ""time"": ""2h""}","{""measurement"": 84.66, ""p_value"": 0.0394, ""fold_change"": -3.24}",330,106
Microarray,"{""temperature"": ""22\u00b0C"", ""ph"": 6.8, ""time"": ""31h""}","{""measurement"": 16.49, ""p_value"": 0.0265, ""fold_change"": 3.34}",307,204
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.4, ""time"": ""47h""}","{""measurement"": 6.94, ""p_value"": 0.011, ""fold_change"": -0.7}",17,6
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 8.0, ""time"": ""21h""}","{""measurement"": 99.45, ""p_value"": 0.0317, ""fold_change"": -1.84}",998,236
ATAC-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.3, ""time"": ""4h""}","{""measurement"": 13.58, ""p_value"": 0.0448, ""fold_change"": 3.36}",186,468
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 7.7, ""time"": ""45h""}","{""measurement"": 97.82, ""p_value"": 0.0071, ""fold_change"": 1.14}",158,237
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.9, ""time"": ""8h""}","{""measurement"": 38.26, ""p_value"": 0.0441, ""fold_change"": -3.73}",45,146
WES,"{""temperature"": ""26\u00b0C"", ""ph"": 7.1, ""time"": ""11h""}","{""measurement"": 45.86, ""p_value"": 0.0264, ""fold_change"": -1.01}",489,193
WGS,"{""temperature"": ""33\u00b0C"", ""ph"": 6.6, ""time"": ""29h""}","{""measurement"": 65.92, ""p_value"": 0.0248, ""fold_change"": 0.77}",556,17
Metabolomics,"{""temperature"": ""35\u00b0C"", ""ph"": 6.1, ""time"": ""42h""}","{""measurement"": 24.05, ""p_value"": 0.0083, ""fold_change"": -4.08}",91,271
RNA-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.4, ""time"": ""45h""}","{""measurement"": 4.77, ""p_value"": 0.009, ""fold_change"": 2.49}",448,151
Microarray,"{""temperature"": ""31\u00b0C"", ""ph"": 6.7, ""time"": ""31h""}","{""measurement"": 12.8, ""p_value"": 0.05, ""fold_change"": 4.2}",893,324
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 6.5, ""time"": ""25h""}","{""measurement"": 57.94, ""p_value"": 0.0247, ""fold_change"": 4.57}",90,115
WES,"{""temperature"": ""29\u00b0C"", ""ph"": 6.9, ""time"": ""24h""}","{""measurement"": 46.0, ""p_value"": 0.0368, ""fold_change"": -0.5}",431,492
Proteomics,"{""temperature"": ""35\u00b0C"", ""ph"": 7.0, ""time"": ""48h""}","{""measurement"": 16.77, ""p_value"": 0.0458, ""fold_change"": -4.62}",60,206
Microarray,"{""temperature"": ""34\u00b0C"", ""ph"": 6.2, ""time"": ""11h""}","{""measurement"": 16.51, ""p_value"": 0.0364, ""fold_change"": -4.16}",436,91
ATAC-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 7.9, ""time"": ""43h""}","{""measurement"": 22.36, ""p_value"": 0.0099, ""fold_change"": -2.77}",540,324
Metabolomics,"{""temperature"": ""28\u00b0C"", ""ph"": 7.6, ""time"": ""9h""}","{""measurement"": 29.21, ""p_value"": 0.0118, ""fold_change"": -0.2}",6,38
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.0, ""time"": ""13h""}","{""measurement"": 77.43, ""p_value"": 0.0434, ""fold_change"": -4.51}",790,169
Proteomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.3, ""time"": ""47h""}","{""measurement"": 44.08, ""p_value"": 0.0074, ""fold_change"": 2.47}",659,485
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.1, ""time"": ""8h""}","{""measurement"": 20.34, ""p_value"": 0.0123, ""fold_change"": -4.36}",641,336
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 7.1, ""time"": ""34h""}","{""measurement"": 10.32, ""p_value"": 0.0165, ""fold_change"": 3.37}",872,130
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.5, ""time"": ""27h""}","{""measurement"": 75.59, ""p_value"": 0.0299, ""fold_change"": -1.12}",267,266
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 6.3, ""time"": ""10h""}","{""measurement"": 28.0, ""p_value"": 0.0202, ""fold_change"": -1.55}",205,10
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 8.0, ""time"": ""19h""}","{""measurement"": 11.83, ""p_value"": 0.0437, ""fold_change"": 0.64}",35,413
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 7.5, ""time"": ""40h""}","{""measurement"": 62.94, ""p_value"": 0.0464, ""fold_change"": 4.89}",273,145
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 7.3, ""time"": ""13h""}","{""measurement"": 7.48, ""p_value"": 0.0338, ""fold_change"": 3.45}",174,263
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 7.0, ""time"": ""6h""}","{""measurement"": 87.5, ""p_value"": 0.0242, ""fold_change"": 1.79}",246,352
WGS,"{""temperature"": ""31\u00b0C"", ""ph"": 7.8, ""time"": ""27h""}","{""measurement"": 65.69, ""p_value"": 0.0189, ""fold_change"": -2.84}",444,235
ATAC-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.2, ""time"": ""10h""}","{""measurement"": 97.1, ""p_value"": 0.0205, ""fold_change"": 0.9}",569,49
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 6.9, ""time"": ""9h""}","{""measurement"": 88.62, ""p_value"": 0.031, ""fold_change"": 1.97}",209,433
Metabolomics,"{""temperature"": ""23\u00b0C"", ""ph"": 6.6, ""time"": ""38h""}","{""measurement"": 46.95, ""p_value"": 0.0278, ""fold_change"": 3.33}",806,411
ChIP-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.0, ""time"": ""20h""}","{""measurement"": 36.12, ""p_value"": 0.0258, ""fold_change"": -0.13}",261,43
Microarray,"{""temperature"": ""28\u00b0C"", ""ph"": 6.1, ""time"": ""25h""}","{""measurement"": 45.94, ""p_value"": 0.0103, ""fold_change"": -4.12}",510,91
ATAC-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 8.0, ""time"": ""10h""}","{""measurement"": 51.75, ""p_value"": 0.0421, ""fold_change"": 4.3}",893,96
ATAC-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.4, ""time"": ""4h""}","{""measurement"": 1.55, ""p_value"": 0.041, ""fold_change"": 0.46}",666,429
Metabolomics,"{""temperature"": ""23\u00b0C"", ""ph"": 7.5, ""time"": ""12h""}","{""measurement"": 58.55, ""p_value"": 0.0298, ""fold_change"": -1.31}",224,282
RNA-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.0, ""time"": ""46h""}","{""measurement"": 61.13, ""p_value"": 0.0043, ""fold_change"": 0.45}",288,497
WES,"{""temperature"": ""37\u00b0C"", ""ph"": 6.7, ""time"": ""24h""}","{""measurement"": 54.59, ""p_value"": 0.0032, ""fold_change"": -0.15}",803,146
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 6.7, ""time"": ""46h""}","{""measurement"": 72.05, ""p_value"": 0.0012, ""fold_change"": -4.57}",366,259
Microarray,"{""temperature"": ""37\u00b0C"", ""ph"": 6.6, ""time"": ""33h""}","{""measurement"": 50.79, ""p_value"": 0.0396, ""fold_change"": 4.44}",478,27
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 7.0, ""time"": ""22h""}","{""measurement"": 98.23, ""p_value"": 0.0037, ""fold_change"": 1.82}",455,167
Proteomics,"{""temperature"": ""31\u00b0C"", ""ph"": 7.7, ""time"": ""27h""}","{""measurement"": 0.54, ""p_value"": 0.0015, ""fold_change"": 0.74}",446,383
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 6.7, ""time"": ""22h""}","{""measurement"": 53.12, ""p_value"": 0.0029, ""fold_change"": 1.09}",519,177
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.1, ""time"": ""43h""}","{""measurement"": 65.23, ""p_value"": 0.0487, ""fold_change"": -3.09}",234,429
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 7.6, ""time"": ""20h""}","{""measurement"": 91.89, ""p_value"": 0.0107, ""fold_change"": -0.64}",363,211
WES,"{""temperature"": ""36\u00b0C"", ""ph"": 6.0, ""time"": ""47h""}","{""measurement"": 16.58, ""p_value"": 0.0168, ""fold_change"": -4.48}",808,219
Proteomics,"{""temperature"": ""30\u00b0C"", ""ph"": 7.5, ""time"": ""18h""}","{""measurement"": 87.81, ""p_value"": 0.0273, ""fold_change"": -0.95}",958,471
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.2, ""time"": ""1h""}","{""measurement"": 49.8, ""p_value"": 0.0484, ""fold_change"": 1.17}",425,71
WES,"{""temperature"": ""20\u00b0C"", ""ph"": 6.4, ""time"": ""18h""}","{""measurement"": 83.13, ""p_value"": 0.0208, ""fold_change"": -2.02}",171,218
Metabolomics,"{""temperature"": ""23\u00b0C"", ""ph"": 6.9, ""time"": ""30h""}","{""measurement"": 81.16, ""p_value"": 0.014, ""fold_change"": -1.5}",415,214
RNA-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.2, ""time"": ""8h""}","{""measurement"": 77.6, ""p_value"": 0.0419, ""fold_change"": 3.4}",638,457
ChIP-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 7.3, ""time"": ""5h""}","{""measurement"": 21.37, ""p_value"": 0.0301, ""fold_change"": 2.11}",178,54
Proteomics,"{""temperature"": ""27\u00b0C"", ""ph"": 7.0, ""time"": ""43h""}","{""measurement"": 59.53, ""p_value"": 0.0139, ""fold_change"": 4.03}",267,301
Microarray,"{""temperature"": ""26\u00b0C"", ""ph"": 7.0, ""time"": ""22h""}","{""measurement"": 75.01, ""p_value"": 0.0021, ""fold_change"": -2.82}",834,466
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 7.0, ""time"": ""21h""}","{""measurement"": 36.03, ""p_value"": 0.0125, ""fold_change"": 2.35}",204,486
Microarray,"{""temperature"": ""28\u00b0C"", ""ph"": 7.9, ""time"": ""39h""}","{""measurement"": 83.07, ""p_value"": 0.0325, ""fold_change"": 1.43}",499,132
Microarray,"{""temperature"": ""33\u00b0C"", ""ph"": 7.9, ""time"": ""21h""}","{""measurement"": 9.68, ""p_value"": 0.0033, ""fold_change"": 1.09}",99,346
Proteomics,"{""temperature"": ""36\u00b0C"", ""ph"": 6.1, ""time"": ""37h""}","{""measurement"": 0.8, ""p_value"": 0.0216, ""fold_change"": 1.81}",727,211
WGS,"{""temperature"": ""31\u00b0C"", ""ph"": 6.5, ""time"": ""39h""}","{""measurement"": 72.49, ""p_value"": 0.0236, ""fold_change"": 2.89}",743,377
Metabolomics,"{""temperature"": ""36\u00b0C"", ""ph"": 6.4, ""time"": ""17h""}","{""measurement"": 55.87, ""p_value"": 0.0364, ""fold_change"": -3.89}",730,172
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.8, ""time"": ""36h""}","{""measurement"": 57.92, ""p_value"": 0.0137, ""fold_change"": -4.82}",980,259
ChIP-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.5, ""time"": ""12h""}","{""measurement"": 98.45, ""p_value"": 0.0224, ""fold_change"": -3.0}",667,366
Metabolomics,"{""temperature"": ""27\u00b0C"", ""ph"": 7.0, ""time"": ""37h""}","{""measurement"": 74.8, ""p_value"": 0.043, ""fold_change"": -1.55}",754,309
WGS,"{""temperature"": ""22\u00b0C"", ""ph"": 7.0, ""time"": ""30h""}","{""measurement"": 67.76, ""p_value"": 0.0107, ""fold_change"": -1.96}",996,96
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.1, ""time"": ""41h""}","{""measurement"": 18.94, ""p_value"": 0.0339, ""fold_change"": 3.51}",47,214
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.8, ""time"": ""5h""}","{""measurement"": 22.45, ""p_value"": 0.0436, ""fold_change"": -0.54}",7,328
WES,"{""temperature"": ""36\u00b0C"", ""ph"": 6.6, ""time"": ""42h""}","{""measurement"": 20.27, ""p_value"": 0.0404, ""fold_change"": -4.86}",849,348
Microarray,"{""temperature"": ""25\u00b0C"", ""ph"": 6.7, ""time"": ""8h""}","{""measurement"": 15.48, ""p_value"": 0.02, ""fold_change"": 3.53}",375,331
ATAC-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.6, ""time"": ""5h""}","{""measurement"": 65.26, ""p_value"": 0.0058, ""fold_change"": -4.84}",545,374
ChIP-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.9, ""time"": ""40h""}","{""measurement"": 89.98, ""p_value"": 0.0201, ""fold_change"": 2.91}",28,91
Metabolomics,"{""temperature"": ""20\u00b0C"", ""ph"": 6.2, ""time"": ""38h""}","{""measurement"": 48.07, ""p_value"": 0.015, ""fold_change"": -3.96}",984,498
ATAC-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.8, ""time"": ""34h""}","{""measurement"": 34.65, ""p_value"": 0.0353, ""fold_change"": -2.97}",247,419
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 7.6, ""time"": ""45h""}","{""measurement"": 16.87, ""p_value"": 0.0094, ""fold_change"": 0.87}",112,358
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 7.9, ""time"": ""2h""}","{""measurement"": 31.09, ""p_value"": 0.0481, ""fold_change"": 4.59}",988,125
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 7.5, ""time"": ""39h""}","{""measurement"": 13.5, ""p_value"": 0.0108, ""fold_change"": 3.6}",860,440
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 7.5, ""time"": ""44h""}","{""measurement"": 54.14, ""p_value"": 0.0092, ""fold_change"": -0.99}",781,203
RNA-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.6, ""time"": ""33h""}","{""measurement"": 80.58, ""p_value"": 0.037, ""fold_change"": -2.11}",674,70
ATAC-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.4, ""time"": ""17h""}","{""measurement"": 98.76, ""p_value"": 0.037, ""fold_change"": -2.39}",330,228
RNA-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 6.9, ""time"": ""12h""}","{""measurement"": 50.42, ""p_value"": 0.0269, ""fold_change"": -4.87}",463,99
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 6.8, ""time"": ""41h""}","{""measurement"": 72.64, ""p_value"": 0.0451, ""fold_change"": 3.34}",164,331
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 6.3, ""time"": ""15h""}","{""measurement"": 90.95, ""p_value"": 0.0231, ""fold_change"": -1.29}",930,276
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 7.7, ""time"": ""40h""}","{""measurement"": 0.83, ""p_value"": 0.0324, ""fold_change"": -1.86}",409,410
WES,"{""temperature"": ""20\u00b0C"", ""ph"": 7.9, ""time"": ""27h""}","{""measurement"": 80.99, ""p_value"": 0.0366, ""fold_change"": -3.51}",637,74
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.8, ""time"": ""37h""}","{""measurement"": 15.46, ""p_value"": 0.0078, ""fold_change"": -0.66}",716,58
RNA-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.1, ""time"": ""9h""}","{""measurement"": 71.61, ""p_value"": 0.0181, ""fold_change"": -2.82}",751,230
Proteomics,"{""temperature"": ""23\u00b0C"", ""ph"": 6.7, ""time"": ""45h""}","{""measurement"": 50.39, ""p_value"": 0.0076, ""fold_change"": 2.86}",923,241
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.2, ""time"": ""15h""}","{""measurement"": 31.49, ""p_value"": 0.014, ""fold_change"": 3.39}",448,394
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 6.8, ""time"": ""27h""}","{""measurement"": 23.48, ""p_value"": 0.0452, ""fold_change"": -0.01}",574,383
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 6.2, ""time"": ""4h""}","{""measurement"": 59.34, ""p_value"": 0.0055, ""fold_change"": -3.84}",799,76
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 6.8, ""time"": ""46h""}","{""measurement"": 64.48, ""p_value"": 0.044, ""fold_change"": 3.35}",980,253
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.1, ""time"": ""28h""}","{""measurement"": 14.95, ""p_value"": 0.0092, ""fold_change"": 4.02}",73,306
Metabolomics,"{""temperature"": ""27\u00b0C"", ""ph"": 7.2, ""time"": ""30h""}","{""measurement"": 0.61, ""p_value"": 0.0126, ""fold_change"": 2.84}",444,51
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 7.0, ""time"": ""47h""}","{""measurement"": 36.17, ""p_value"": 0.043, ""fold_change"": -2.33}",363,463
WES,"{""temperature"": ""31\u00b0C"", ""ph"": 7.9, ""time"": ""25h""}","{""measurement"": 64.59, ""p_value"": 0.014, ""fold_change"": 2.79}",476,219
Microarray,"{""temperature"": ""36\u00b0C"", ""ph"": 6.6, ""time"": ""31h""}","{""measurement"": 47.5, ""p_value"": 0.016, ""fold_change"": -3.57}",850,83
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 6.6, ""time"": ""26h""}","{""measurement"": 23.3, ""p_value"": 0.001, ""fold_change"": -2.1}",911,31
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 7.0, ""time"": ""14h""}","{""measurement"": 42.02, ""p_value"": 0.0294, ""fold_change"": -2.8}",128,262
ChIP-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 6.4, ""time"": ""36h""}","{""measurement"": 83.2, ""p_value"": 0.0483, ""fold_change"": 0.35}",214,336
ChIP-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.1, ""time"": ""23h""}","{""measurement"": 0.36, ""p_value"": 0.0096, ""fold_change"": -2.9}",589,486
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.6, ""time"": ""35h""}","{""measurement"": 52.49, ""p_value"": 0.0401, ""fold_change"": -0.92}",325,485
WES,"{""temperature"": ""28\u00b0C"", ""ph"": 7.6, ""time"": ""39h""}","{""measurement"": 60.51, ""p_value"": 0.0462, ""fold_change"": 4.17}",593,317
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 6.2, ""time"": ""34h""}","{""measurement"": 80.27, ""p_value"": 0.0255, ""fold_change"": -3.91}",189,106
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.5, ""time"": ""28h""}","{""measurement"": 86.21, ""p_value"": 0.0488, ""fold_change"": 3.03}",503,27
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.3, ""time"": ""9h""}","{""measurement"": 17.61, ""p_value"": 0.0287, ""fold_change"": 0.05}",631,102
ChIP-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.3, ""time"": ""35h""}","{""measurement"": 93.84, ""p_value"": 0.0175, ""fold_change"": -0.72}",225,46
WGS,"{""temperature"": ""20\u00b0C"", ""ph"": 7.1, ""time"": ""12h""}","{""measurement"": 57.43, ""p_value"": 0.0016, ""fold_change"": -0.05}",570,262
Proteomics,"{""temperature"": ""20\u00b0C"", ""ph"": 7.9, ""time"": ""44h""}","{""measurement"": 88.95, ""p_value"": 0.0052, ""fold_change"": -2.17}",669,485
Metabolomics,"{""temperature"": ""29\u00b0C"", ""ph"": 6.0, ""time"": ""38h""}","{""measurement"": 97.69, ""p_value"": 0.0093, ""fold_change"": -4.74}",507,157
Metabolomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.8, ""time"": ""10h""}","{""measurement"": 93.71, ""p_value"": 0.0254, ""fold_change"": 1.47}",705,60
ChIP-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 6.6, ""time"": ""25h""}","{""measurement"": 35.9, ""p_value"": 0.0262, ""fold_change"": -1.21}",748,174
WES,"{""temperature"": ""30\u00b0C"", ""ph"": 7.7, ""time"": ""31h""}","{""measurement"": 13.99, ""p_value"": 0.02, ""fold_change"": -4.2}",246,175
WGS,"{""temperature"": ""33\u00b0C"", ""ph"": 7.0, ""time"": ""43h""}","{""measurement"": 96.45, ""p_value"": 0.0164, ""fold_change"": -1.35}",113,482
ATAC-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 6.3, ""time"": ""42h""}","{""measurement"": 75.14, ""p_value"": 0.0319, ""fold_change"": -1.31}",467,210
